icao24,origin_country,velocity,on_ground
a4c52a,United States,25.31,False
801642,India,260.6,False
a4d862,United States,49.14,False
ab6fdd,United States,96.21,False
a3b87f,United States,204.07,False
c07d20,Canada,133.98,False
7c2efc,Australia,59.99,False
7c2eff,Australia,3.75,False
801648,India,93.14,False
a3687e,United States,75.2,False
ac4963,United States,200.72,False
a58227,United States,62.23,False
a36898,United States,203.3,False
801616,India,246.64,False
a5954e,United States,147.62,False
aa9300,United States,244.59,False
ac2315,United States,35.51,False
a97808,United States,112.83,False
ad5623,United States,174.56,False
c047d8,Canada,45.25,False
ad5628,United States,11.32,True
8a02e1,Indonesia,99.8,False
ac7cd5,United States,52.06,False
acdfab,United States,7.72,True
a2ded8,United States,0.06,True
a4b234,United States,99.74,False
ad694c,United States,199.92,False
adb91e,United States,47.79,False
a2355d,United States,181.25,False
c047cf,Canada,57.01,False
ac498c,United States,196.8,False
adeca5,United States,244.19,False
a950e9,United States,66.87,False
a2228b,United States,0.0,True
801683,India,254.37,False
4bc8c8,Turkey,50.46,False
ab0361,United States,96.8,False
4bc8c1,Turkey,233.41,False
80167f,India,196.45,False
abf008,United States,111.59,False
c02290,Canada,49.68,False
4bc8d6,Turkey,52.83,False
4bc8d4,Turkey,186.1,False
a963f7,United States,169.77,False
ac234f,United States,4.37,True
ac101f,United States,196.47,False
ad5679,United States,4.89,True
801659,India,216.13,False
801662,India,136.42,False
801667,India,242.67,False
e80274,Chile,213.73,False
8744d4,Japan,237.4,False
aae377,United States,175.28,False
a59530,United States,165.09,False
e8026c,Chile,259.11,False
ac1042,United States,197.21,False
a4c527,United States,209.87,False
505f15,Slovakia,187.07,False
ab01ee,United States,51.54,False
adda32,United States,8.75,False
a4b294,United States,156.03,False
e80210,Chile,220.91,False
a9fbb6,United States,60.03,False
800396,India,130.96,False
adda24,United States,206.46,False
a9a215,United States,84.69,False
e80214,Chile,74.68,False
ae61b3,United States,0.06,True
ac6a65,United States,259.26,False
accd69,United States,214.9,False
86cfa0,Japan,7.2,True
a9523c,United States,0.0,True
a7124e,United States,0.06,False
a5829d,United States,216.53,False
a091a1,United States,250.34,False
accd5b,United States,105.04,False
a6f23d,United States,241.87,False
0d11e4,Mexico,217.71,False
0d11e6,Mexico,208.93,False
a9520e,United States,72.04,False
a9653d,United States,0.0,True
4bc8cd,Turkey,248.27,False
e8021e,Chile,232.58,False
4bc8cc,Turkey,221.05,False
7c1c9e,Australia,81.15,False
a96558,United States,30.19,False
a15d0c,United States,276.66,False
e8022a,Chile,266.01,False
46b82d,Greece,252.14,False
46b82c,Greece,269.42,False
c0226c,Canada,268.88,False
e80241,Chile,63.56,False
7c2ec3,Australia,70.94,False
851936,Japan,77.55,False
7c2ebb,Australia,74.96,False
ac4917,United States,214.94,False
a091d5,United States,196.99,False
a8eed8,United States,297.35,False
a4c592,United States,248.92,False
a5958c,United States,221.56,False
a8584a,United States,65.33,False
a1ad44,United States,200.04,False
a114ed,United States,171.4,False
ab1628,United States,8.75,True
a1ad1f,United States,20.49,False
4cc2a6,Iceland,233.7,False
ab6fbf,United States,268.34,False
aaf60a,United States,0.64,True
a8320e,United States,243.39,False
c80a22,New Zealand,53.41,False
a2ba48,United States,214.68,False
a091fc,United States,73.22,False
aa07f9,United States,197.27,False
a26a70,United States,265.39,False
c03517,Canada,212.1,False
a40d62,United States,161.27,False
a40d65,United States,31.36,False
885223,Thailand,4.63,True
a3a4de,United States,86.13,False
8014b4,India,211.2,False
a40d59,United States,87.78,False
a00929,United States,264.33,False
accd13,United States,125.77,False
accd10,United States,249.59,False
4aca88,Sweden,243.31,False
c81d7e,New Zealand,226.36,False
a64d4d,United States,231.21,False
a091f3,United States,131.97,False
e07583,Argentina,213.91,False
a0f4f6,United States,198.78,False
ab5d4a,United States,132.27,False
ab14d9,United States,269.26,False
ad9d1b,United States,92.25,False
a63a28,United States,3.86,True
c02207,Canada,250.15,False
84d283,Japan,191.77,False
c04850,Canada,82.81,False
ad67ae,United States,208.48,False
a3ed91,United States,5.66,True
a234ef,United States,136.38,False
a27d5f,United States,42.05,False
a857c9,United States,131.16,False
7c70bc,Australia,53.38,False
a9659e,United States,35.59,False
8014e8,India,175.35,False
a52d19,United States,66.01,False
a2ba7e,United States,266.34,False
e49eee,Brazil,156.41,False
c81d9d,New Zealand,158.49,False
ad67f3,United States,212.13,False
